Name,Activities,Approx visibility,Coordinates E,Coordinates N,Country,Current Water Temp.,Date,Depth,Distance between 2 locations,Dive shops Database,Rating,Region,Related Master places database,Related back to Master places database,Related location,Related region,Species,UF General swell height (m),UF General wind speed,UF swell direction,UF swell height,UF wind direction,UF wind speed,distance coords E,distance coords N,locations in region
Cabbage Tree Bay Aquatic Reserve,Snorkeling,,,,Australia,🌡 Coming soon,,,0,,4,Sydney (https://www.notion.so/3ab1366b397a44c2aedfb915baa9e330?pvs=21),,,,,"Weedy Seadragon (https://www.notion.so/bdabfecba0734ef2af7e8d719c7a02af?pvs=21), Blue Groper (https://www.notion.so/271b19487cde4d7cba482dd49b71d43d?pvs=21), Sea Turtle (https://www.notion.so/901ea607539c435483e23b9196a42992?pvs=21), Leatherjacket (https://www.notion.so/7a74bb515f904da99e78913594aa7296?pvs=21)",,,,,,,0,0,
Fisherman’s Beach,Snorkeling,,,,Australia,🌡 Coming soon,,,0,,,Sydney (https://www.notion.so/3ab1366b397a44c2aedfb915baa9e330?pvs=21),,,,,,,,,,,,0,0,
The Basin Campground,Snorkeling,,,,Australia,🌡 Coming soon,,,0,,,Sydney (https://www.notion.so/3ab1366b397a44c2aedfb915baa9e330?pvs=21),,,,,Weedy Seadragon (https://www.notion.so/bdabfecba0734ef2af7e8d719c7a02af?pvs=21),,,,,,,0,0,
Clovelly Beach,Snorkeling,,,,Australia,🌡 Coming soon,,,0,,,Sydney (https://www.notion.so/3ab1366b397a44c2aedfb915baa9e330?pvs=21),,,,,Blue Groper (https://www.notion.so/271b19487cde4d7cba482dd49b71d43d?pvs=21),,,,,,,0,0,
Fairlight Beach,Snorkeling,,,,Australia,🌡 Coming soon,,,0,,,Sydney (https://www.notion.so/3ab1366b397a44c2aedfb915baa9e330?pvs=21),,,,,Weedy Seadragon (https://www.notion.so/bdabfecba0734ef2af7e8d719c7a02af?pvs=21),,,,,,,0,0,
Malabar Beach,"Diving, Snorkeling",,,,Australia,🌡 Coming soon,,,0,,,Sydney (https://www.notion.so/3ab1366b397a44c2aedfb915baa9e330?pvs=21),,,,,Wobbegong (https://www.notion.so/fd7a3b6854ea4f849e1cf2838cabe7ed?pvs=21),,,,,,,0,0,
Little Bay Beach,Snorkeling,,,,Australia,🌡 Coming soon,,,0,,,Sydney (https://www.notion.so/3ab1366b397a44c2aedfb915baa9e330?pvs=21),,,,,,,,,,,,0,0,
Magic Point,Diving,,,,Australia,🌡 Coming soon,,,0,,,Sydney (https://www.notion.so/3ab1366b397a44c2aedfb915baa9e330?pvs=21),,,,,Grey Nurse Shark (https://www.notion.so/97613f58bb0a4505b305d382a6199fa0?pvs=21),,,,,,,0,0,
Oak Park Beach,"Diving, Snorkeling",7 meters | 23 feet,,,Australia,🌡 Coming soon,,12 meters | 39 feet,0,,,Sydney (https://www.notion.so/3ab1366b397a44c2aedfb915baa9e330?pvs=21),,,,,"Cuttlefish (https://www.notion.so/2c4cb15b55604e70909d750d040d5ee6?pvs=21), Blue Groper (https://www.notion.so/271b19487cde4d7cba482dd49b71d43d?pvs=21), Nudibranch (https://www.notion.so/3682aad6959d4cce8f1e834988b8c9b5?pvs=21), Port Jackson Shark (https://www.notion.so/90a183271b6443e2834c22d6024a5e3c?pvs=21), Stingray (https://www.notion.so/79b82aedcbc645659ee363d7adf7b979?pvs=21), Sea Turtle (https://www.notion.so/901ea607539c435483e23b9196a42992?pvs=21), Pigmy Pipehorse (https://www.notion.so/596223cbe89a45fabc59e265188060b1?pvs=21), Grey Nurse Shark (https://www.notion.so/97613f58bb0a4505b305d382a6199fa0?pvs=21), Crayfish (https://www.notion.so/75b451e022d046a3b7fb8eed2d8ded38?pvs=21)",,,,,,,0,0,
"The Monuments, Kurnell","Diving, Snorkeling",5 meters,,,Australia,🌡 Coming soon,,,0,,,Sydney (https://www.notion.so/3ab1366b397a44c2aedfb915baa9e330?pvs=21),,,,,"Cuttlefish (https://www.notion.so/2c4cb15b55604e70909d750d040d5ee6?pvs=21), Moray Eel (https://www.notion.so/f49cd1e75c2442be961b2a772666e844?pvs=21), Seahorse (https://www.notion.so/7f31498555c04254a6dea70aa85a0c97?pvs=21), Weedy Seadragon (https://www.notion.so/bdabfecba0734ef2af7e8d719c7a02af?pvs=21), Port Jackson Shark (https://www.notion.so/90a183271b6443e2834c22d6024a5e3c?pvs=21), Octopus (https://www.notion.so/59c0403186714ccb884c8dffd0798721?pvs=21), Stingray (https://www.notion.so/79b82aedcbc645659ee363d7adf7b979?pvs=21), Nudibranch (https://www.notion.so/3682aad6959d4cce8f1e834988b8c9b5?pvs=21), Blue Groper (https://www.notion.so/271b19487cde4d7cba482dd49b71d43d?pvs=21), Leatherjacket (https://www.notion.so/7a74bb515f904da99e78913594aa7296?pvs=21)",,,NE,1,,,0,0,
