Name,Places,Published,Regions
Blue Groper,"Clovelly Beach (https://www.notion.so/084d9948e24b4395968a0924e0c022cf?pvs=21), Cabbage Tree Bay Aquatic Reserve (https://www.notion.so/53f8c3e9eae54d91837172c69b14baa2?pvs=21), Oak Park Beach (https://www.notion.so/641198fdd4a5402c958fd25fdf777f67?pvs=21), Bare Island (https://www.notion.so/d3ec1a866f854a7bbbaee872e41c90c1?pvs=21), The Monuments, Kurnell (https://www.notion.so/9f3520d7460749f8af33cc77ce89f685?pvs=21), The Steps (Inscription Point), Kurnell (https://www.notion.so/a9e6716104ef410e8942811393031d5b?pvs=21)",Yes,https://www.notion.so/3ab1366b397a44c2aedfb915baa9e330
Weedy Seadragon,"The Basin Campground (https://www.notion.so/ebd4e661a52c4efab80cb970787b19e9?pvs=21), Cabbage Tree Bay Aquatic Reserve (https://www.notion.so/53f8c3e9eae54d91837172c69b14baa2?pvs=21), Fairlight Beach (https://www.notion.so/14663d39ebfd479b9c49418471bd7c61?pvs=21), Bare Island (https://www.notion.so/d3ec1a866f854a7bbbaee872e41c90c1?pvs=21), The Monuments, Kurnell (https://www.notion.so/9f3520d7460749f8af33cc77ce89f685?pvs=21), The Steps (Inscription Point), Kurnell (https://www.notion.so/a9e6716104ef410e8942811393031d5b?pvs=21)",Yes,https://www.notion.so/3ab1366b397a44c2aedfb915baa9e330
Bottlenose Dolphin,"Maitland Bay in Bouddi National Park (https://www.notion.so/5e6ccd68e42c4ad79ce28657588e8cc7?pvs=21), Spoon Bay (https://www.notion.so/ad9ee6c4245f49558e959809d2b54672?pvs=21), Lobster Beach (https://www.notion.so/2617549e37c3413a84719e54dff7fdee?pvs=21), Toowoon Bay Beach (https://www.notion.so/ae61becdc81f45b28752ae4636b21709?pvs=21)",Yes,https://www.notion.so/455db6f40fe540cdb22bf30954d3e0e9
Port Jackson Shark,"Shelly Beach (https://www.notion.so/dbc06de0412345be8a37cb95012d64c9?pvs=21), Bare Island (https://www.notion.so/d3ec1a866f854a7bbbaee872e41c90c1?pvs=21), Oak Park Beach (https://www.notion.so/641198fdd4a5402c958fd25fdf777f67?pvs=21), The Monuments, Kurnell (https://www.notion.so/9f3520d7460749f8af33cc77ce89f685?pvs=21), The Steps (Inscription Point), Kurnell (https://www.notion.so/a9e6716104ef410e8942811393031d5b?pvs=21)",Yes,https://www.notion.so/3ab1366b397a44c2aedfb915baa9e330
Wobbegong,"Malabar Beach (https://www.notion.so/20b2f824f8734163b4a2b31a8efab082?pvs=21), Bare Island (https://www.notion.so/d3ec1a866f854a7bbbaee872e41c90c1?pvs=21)",Yes,https://www.notion.so/3ab1366b397a44c2aedfb915baa9e330
Stingray,"Bare Island (https://www.notion.so/d3ec1a866f854a7bbbaee872e41c90c1?pvs=21), Oak Park Beach (https://www.notion.so/641198fdd4a5402c958fd25fdf777f67?pvs=21), The Monuments, Kurnell (https://www.notion.so/9f3520d7460749f8af33cc77ce89f685?pvs=21), The Steps (Inscription Point), Kurnell (https://www.notion.so/a9e6716104ef410e8942811393031d5b?pvs=21)",Yes,https://www.notion.so/3ab1366b397a44c2aedfb915baa9e330
Nudibranch,"Bare Island (https://www.notion.so/d3ec1a866f854a7bbbaee872e41c90c1?pvs=21), Chowder Bay & Clifton Gardens (https://www.notion.so/f985fb67713e442fa1872d4423e28bde?pvs=21), Oak Park Beach (https://www.notion.so/641198fdd4a5402c958fd25fdf777f67?pvs=21), The Monuments, Kurnell (https://www.notion.so/9f3520d7460749f8af33cc77ce89f685?pvs=21), The Steps (Inscription Point), Kurnell (https://www.notion.so/a9e6716104ef410e8942811393031d5b?pvs=21)",Yes,https://www.notion.so/3ab1366b397a44c2aedfb915baa9e330
Sea Turtle,"Cabbage Tree Bay Aquatic Reserve (https://www.notion.so/53f8c3e9eae54d91837172c69b14baa2?pvs=21), Bare Island (https://www.notion.so/d3ec1a866f854a7bbbaee872e41c90c1?pvs=21), Oak Park Beach (https://www.notion.so/641198fdd4a5402c958fd25fdf777f67?pvs=21)",Yes,https://www.notion.so/3ab1366b397a44c2aedfb915baa9e330
Cuttlefish,"Bare Island (https://www.notion.so/d3ec1a866f854a7bbbaee872e41c90c1?pvs=21), Chowder Bay & Clifton Gardens (https://www.notion.so/f985fb67713e442fa1872d4423e28bde?pvs=21), Oak Park Beach (https://www.notion.so/641198fdd4a5402c958fd25fdf777f67?pvs=21), Shelly Beach (https://www.notion.so/dbc06de0412345be8a37cb95012d64c9?pvs=21), The Monuments, Kurnell (https://www.notion.so/9f3520d7460749f8af33cc77ce89f685?pvs=21), The Steps (Inscription Point), Kurnell (https://www.notion.so/a9e6716104ef410e8942811393031d5b?pvs=21)",Yes,https://www.notion.so/3ab1366b397a44c2aedfb915baa9e330
Leatherjacket,"Chowder Bay & Clifton Gardens (https://www.notion.so/f985fb67713e442fa1872d4423e28bde?pvs=21), Cabbage Tree Bay Aquatic Reserve (https://www.notion.so/53f8c3e9eae54d91837172c69b14baa2?pvs=21), Bare Island (https://www.notion.so/d3ec1a866f854a7bbbaee872e41c90c1?pvs=21), The Monuments, Kurnell (https://www.notion.so/9f3520d7460749f8af33cc77ce89f685?pvs=21)",Yes,https://www.notion.so/3ab1366b397a44c2aedfb915baa9e330
Pigmy Pipehorse,"Bare Island (https://www.notion.so/d3ec1a866f854a7bbbaee872e41c90c1?pvs=21), Oak Park Beach (https://www.notion.so/641198fdd4a5402c958fd25fdf777f67?pvs=21)",Yes,https://www.notion.so/3ab1366b397a44c2aedfb915baa9e330
Red Indian Fish,Bare Island (https://www.notion.so/d3ec1a866f854a7bbbaee872e41c90c1?pvs=21),Yes,https://www.notion.so/3ab1366b397a44c2aedfb915baa9e330
Tuna,Bare Island (https://www.notion.so/d3ec1a866f854a7bbbaee872e41c90c1?pvs=21),Yes,https://www.notion.so/3ab1366b397a44c2aedfb915baa9e330
